name,log2FC,Pval,FDR,comparison,cell_type,label,diffaccessible,dalabel
MARCH1,-0.0416120189905765,0.122362796569233,0.465434753021047,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TMEM192,-0.0157897865148835,0.471998933976079,0.79969785881262,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
CPE,-0.0469127269966672,0.057555271063538,0.325003196252304,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PALLD,0.0108548132594332,0.966125759549412,0.991600784288647,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
CBR4,0.112470579687226,0.00267588742190285,0.0562161223088835,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SH3RF1,0.0352379513555295,0.37267619306607,0.740465315052792,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
NEK1,0.00401722228360232,0.98950398683472,0.996880905535684,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
CLCN3,-0.0224768802388214,0.440023639898903,0.783349028905224,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MFAP3L,-0.0412971113217876,0.322013002885021,0.702012214704645,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
GALNTL6,0.03907886742282,0.930300747715595,0.983522671002321,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
GALNT7,-0.00105620750332422,0.671372918744548,0.901302958648585,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
HMGB2,-0.0576033868949515,0.219164690516485,0.602261628326024,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SAP30,-0.0182719410102297,0.815403326290435,0.950353527145029,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
HAND2,-0.0181535093792644,0.737760819370645,0.924991651362059,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
GPM6A,0.0492371620008648,0.326839866483534,0.706205804733596,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SPCS3,-0.00692128873031393,0.884150176167057,0.971674142183261,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TENM3,-0.120969403500998,0.000169116806626664,0.00960890946742412,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p<0.05 & log2FC>0.1,Accessible in Progenitor-like (NPC + OPC),TENM3
DCTD,-0.00753730418259901,0.888612922920199,0.972330586410109,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
WWC2,0.0135594311820834,0.672109939984088,0.901302958648585,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
WWC2-AS2,-0.000109030306387452,0.838070005171867,0.95910964199115,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
CLDN24,0.0267530322189568,0.685216782997913,0.906767656042164,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
CDKN2AIP,0.0681419931209117,0.0921846382290266,0.411978325251047,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LOC389247,-0.075246029376364,0.0413693363127172,0.275630181478771,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ING2,-0.0679068560870406,0.0408968148630647,0.274475267537347,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
STOX2,0.00271835866608306,0.942922156611797,0.987280933007539,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
