"","hgnc_symbol","gene_biotype"
"741","ADRM1","protein_coding"
"742","CNKSR2","protein_coding"
"743","SAMM50","protein_coding"
"744","SUPT20H","protein_coding"
"745","SNX6","protein_coding"
"746","PHF20","protein_coding"
"747","APOB","protein_coding"
"748","TDRD15","protein_coding"
"749","TTC38","protein_coding"
"750","TRIOBP","protein_coding"
"751","RBPJL","protein_coding"
"752","PCNX4","protein_coding"
"753","HMGN1","protein_coding"
"754","CCDC40","protein_coding"
"755","SDC4","protein_coding"
"756","SYS1","protein_coding"
"757","SIX1","protein_coding"
"758","GAA","protein_coding"
"759","EIF4A3","protein_coding"
"760","PPP2R5E","protein_coding"
"761","SYS1-DBNDD2","protein_coding"
"762","TP53TG5","protein_coding"
"763","STX16-NPEPL1","protein_coding"
"764","NPEPL1","protein_coding"
"765","PLCL2","protein_coding"
"766","PIM3","protein_coding"
"767","DENND6B","protein_coding"
"768","NELFCD","protein_coding"
"769","GET1","protein_coding"
"770","GJA10","protein_coding"
"771","CASP8AP2","protein_coding"
"772","CERK","protein_coding"
"773","STYX","protein_coding"
"774","NBEA","protein_coding"
"775","L3HYPDH","protein_coding"
"776","C14orf39","protein_coding"
"777","GET1-SH3BGR","protein_coding"
"778","PPP6R2","protein_coding"
"779","PCP4","protein_coding"
"780","DSCAM","protein_coding"
"781","SIX6","protein_coding"
"782","SYTL5","protein_coding"
"783","SIX4","protein_coding"
"784","TUBB1","protein_coding"
"785","ATP5F1E","protein_coding"
"786","PPM1A","protein_coding"
"787","SETDB2","protein_coding"
"788","PRELID3B","protein_coding"
"789","PHF11","protein_coding"
"790","CENATAC","protein_coding"
"791","CCDC175","protein_coding"
"792","BACE2","protein_coding"
"793","GDF5","protein_coding"
"794","C20orf173","protein_coding"
"795","DHRS7","protein_coding"
"796","RBM12","protein_coding"
"797","RPS25","protein_coding"
"798","ADGRG2","protein_coding"
"799","FITM2","protein_coding"
"800","RIPK4","protein_coding"
"801","TTPAL","protein_coding"
"802","RCBTB1","protein_coding"
"803","PCNX1","protein_coding"
"804","SKA3","protein_coding"
"805","TRAPPC4","protein_coding"
"806","SERINC3","protein_coding"
"807","TFF2","protein_coding"
"808","TFF1","protein_coding"
"809","TMPRSS3","protein_coding"
"810","MRPL57","protein_coding"
"811","MICU2","protein_coding"
"812","PKIG","protein_coding"
"813","FGF9","protein_coding"
"814","ALG5","protein_coding"
"815","HYOU1","protein_coding"
"816","RTL6","protein_coding"
"817","TLDC2","protein_coding"
"818","PVALB","protein_coding"
"819","OSER1","protein_coding"
"820","JPH2","protein_coding"
"821","GPHB5","protein_coding"
"822","EXOSC8","protein_coding"
"823","DDX51","protein_coding"
"824","UBASH3A","protein_coding"
"825","MNAT1","protein_coding"
"826","SRSF6","protein_coding"
"827","SYNGR1","protein_coding"
"828","IFT52","protein_coding"
"829","NOC4L","protein_coding"
"830","MYBL2","protein_coding"
"831","CCDC177","protein_coding"
"832","PDGFB","protein_coding"
"833","ADARB2","protein_coding"
"834","DCAF4","protein_coding"
"835","GTSF1L","protein_coding"
"836","KLF6","protein_coding"
"837","CST9","protein_coding"
"838","SIRPB1","protein_coding"
"839","MPPED1","protein_coding"
"840","ATP5F1C","protein_coding"
"841","ENOX1","protein_coding"
"842","GALNT9","protein_coding"
"843","OTOR","protein_coding"
"844","PKDREJ","protein_coding"
"845","SRXN1","protein_coding"
"846","DTD1","protein_coding"
"847","ANKRD54","protein_coding"
"848","CCDC122","protein_coding"
"849","RSPH1","protein_coding"
"850","LACC1","protein_coding"
"851","OSBPL2","protein_coding"
"852","SLC37A1","protein_coding"
"853","LAMP1","protein_coding"
"854","JKAMP","protein_coding"
"855","GRTP1","protein_coding"
"856","ITIH2","protein_coding"
"857","DCUN1D2","protein_coding"
"858","PDE9A","protein_coding"
"859","TSPO","protein_coding"
"860","TMCO3","protein_coding"
"861","RHOJ","protein_coding"
"862","SOCS4","protein_coding"
"863","TFDP1","protein_coding"
"864","CCDC3","protein_coding"
"865","KCNH5","protein_coding"
"866","VPS11","protein_coding"
